x,y,z,class
0.028,-1.028,-0.316,sitting
0.02,-1.024,-0.328,sitting
0.02,-1.02,-0.328,sitting
0.012,-1.024,-0.316,sitting
0.016,-1.024,-0.32,sitting
0.016,-1.024,-0.312,sitting
0.02,-1.024,-0.324,sitting
0.02,-1.02,-0.324,sitting
0.016,-1.028,-0.312,sitting
0.016,-1.024,-0.312,sitting
0.016,-1.02,-0.32,sitting
0.008,-1.024,-0.316,sitting
0.016,-1.028,-0.328,sitting
0.024,-1.028,-0.304,sitting
0.004,-1.024,-0.32,sitting
0.016,-1.024,-0.324,sitting
0.012,-1.032,-0.308,sitting
0.02,-1.028,-0.308,sitting
0.016,-1.024,-0.308,sitting
0.016,-1.024,-0.308,sitting
0.028,-1.016,-0.36,sitting
0.02,-1.028,-0.324,sitting
0.02,-1.024,-0.316,sitting
0.024,-1.024,-0.312,sitting
0.028,-1.028,-0.316,sitting
0.016,-1.028,-0.308,sitting
0.016,-1.028,-0.316,sitting
0.016,-1.028,-0.32,sitting
0.012,-1.024,-0.304,sitting
0.02,-1.028,-0.308,sitting
0.036,-1.02,-0.328,sitting
0.02,-1.02,-0.312,sitting
0.024,-1.028,-0.304,sitting
0.024,-1.028,-0.312,sitting
0.02,-1.032,-0.316,sitting
0.028,-1.032,-0.312,sitting
0.024,-1.028,-0.304,sitting
0.028,-1.02,-0.304,sitting
0.032,-1.032,-0.312,sitting
0.02,-1.024,-0.296,sitting
0.032,-1.032,-0.304,sitting
0.036,-1.032,-0.3,sitting
0.04,-1.032,-0.3,sitting
0.04,-1.04,-0.288,sitting
0.028,-1.032,-0.3,sitting
0.02,-1.028,-0.304,sitting
0.032,-1.036,-0.292,sitting
0.028,-1.028,-0.3,sitting
0.024,-1.032,-0.312,sitting
0.02,-1.032,-0.304,sitting
0.024,-1.032,-0.296,sitting
0.028,-1.032,-0.304,sitting
0.024,-1.028,-0.3,sitting
0.024,-1.032,-0.3,sitting
0.024,-1.032,-0.288,sitting
0.02,-1.032,-0.296,sitting
0.028,-1.028,-0.296,sitting
0.024,-1.032,-0.3,sitting
0.028,-1.036,-0.296,sitting
0.028,-1.028,-0.3,sitting
0.028,-1.028,-0.296,sitting
0.028,-1.024,-0.296,sitting
0.028,-1.028,-0.3,sitting
0.024,-1.028,-0.292,sitting
0.032,-1.032,-0.292,sitting
0.032,-1.024,-0.296,sitting
0.032,-1.032,-0.3,sitting
0.028,-1.028,-0.292,sitting
0.024,-1.028,-0.284,sitting
0.016,-1.036,-0.3,sitting
0.016,-1.032,-0.296,sitting
0.012,-1.036,-0.304,sitting
