STD,mean,CoV,average,cwtmean,LOA,skew,ZCR,cwtvar
0.015204,1.104,103.15,1.1041,0.00019624,0.14006,0.19623,0,1.81E-05
0.041261,1.0964,50.372,1.097,0.00027978,0.41861,0.62538,0.2,0.0001787
0.012444,1.106,121.88,1.106,9.54E-05,0.10009,0.049611,0,1.69E-05
0.024037,1.1195,77.264,1.1197,0.00091621,0.38416,0.41816,0.4,5.22E-05
0.010172,1.1051,180.99,1.1052,0.00029354,0.10698,0.29603,0.5,8.51E-06
0.006168,1.1096,244.13,1.1096,7.88E-05,0.24685,0.4548,0.5,4.23E-06
0.019736,1.1213,145.09,1.1214,0.00075106,0.26921,0.35577,0.4,4.44E-05
0.0084958,1.1189,181.01,1.1189,0.00022062,0.37299,0.44859,0,8.39E-06
0.010979,1.1159,174.97,1.1159,0.00016238,0.63512,0.061133,0.2,6.74E-06
0.0092183,1.1091,257.73,1.1091,0.00017619,0.42282,0.24111,0,6.46E-06
0.0091797,1.108,273.7,1.108,0.00023175,0.14945,0.077747,0,9.69E-06
0.010379,1.1103,204.68,1.1103,0.00027132,0.049958,0.13616,0,1.00E-05
0.010405,1.1159,175.38,1.116,0.0002257,0.29584,0.41854,0.1,1.22E-05
0.009276,1.1214,190.3,1.1214,0.00012385,0.51972,0.20311,0.1,8.63E-06
0.010683,1.1194,145,1.1194,0.00021781,0.26247,0.22646,0.1,1.24E-05
0.039128,1.1307,56.433,1.131,0.00023719,0.69709,0.8189,0.5,0.00012287
0.048892,1.1536,40.575,1.154,0.0010219,0.46603,1.1238,0.2,0.00022962
0.0087737,1.1287,294.05,1.1287,0.00021901,0.17252,0.54749,0,7.95E-06
0.013453,1.1303,175.3,1.1304,0.00015467,0.54391,0.52205,0.1,2.28E-05
0.022682,1.1358,70.675,1.1358,0.00038305,0.45964,0.79884,0.4,3.68E-05
0.011813,1.1333,158.17,1.1333,0.00034126,0.12113,0.27743,0.1,1.16E-05
0.009716,1.1219,167.42,1.1219,0.0002576,0.3817,0.27239,0.3,8.62E-06
0.0066131,1.1181,351.21,1.1181,0.00022411,0.40709,0.16267,0.2,4.32E-06
0.008579,1.1225,433.35,1.1225,0.0002143,0.45099,0.11472,0.5,8.86E-06
0.032136,1.1371,56.577,1.1373,0.00076473,0.059118,1.2249,0,9.61E-05
0.0090921,1.1289,220.22,1.1289,0.00021886,0.3631,0.4324,0,7.15E-06
0.0079443,1.1242,242.17,1.1242,0.00012899,0.42467,0.24593,0,5.61E-06
0.010439,1.1313,226.13,1.1313,0.0003175,0.24274,0.42976,0.2,1.08E-05
0.0079218,1.1255,259.04,1.1255,0.00022312,0.50304,0.58893,0,5.38E-06
0.013152,1.1345,139.99,1.1346,0.00022383,0.50274,0.4376,0,1.79E-05
0.0098342,1.1318,263.24,1.1318,0.000313,0.55946,0.42784,0.2,5.96E-06
