STD,mean,CoV,average,cwtmean,LOA,skew,ZCR,cwtvar
0.58798,1.1193,3.0867,1.1923,0.017757,0.47805,0.37676,0.84853,0.036258
0.2072,0.74691,5.9461,0.765,0.0077893,0.32355,0.70905,1.0296,0.0029859
0.45803,1.3725,4.9425,1.4181,0.01468,0.34136,0.43934,0.92195,0.019583
0.55691,1.1913,3.4561,1.2383,0.013517,0.13246,0.61279,0.63246,0.023782
0.36046,1.178,4.1275,1.1968,0.0064491,0.75932,0.16058,1.1402,0.0055343
0.46893,1.4115,4.6291,1.4467,0.012343,0.35047,0.48942,0.76158,0.023049
0.51185,1.1198,5.7885,1.176,0.0075684,0.90318,0.20183,0.82462,0.021733
0.61364,1.4075,4.4424,1.4904,0.014492,0.16348,0.40762,0.56569,0.031768
0.59024,1.4161,6.0127,1.4981,0.0038964,0.17917,0.74805,0.76158,0.029628
0.47838,1.3855,4.921,1.4218,0.019122,0.30935,0.56538,0.82462,0.023825
0.46857,1.3834,8.4791,1.4486,0.013097,0.39493,0.23852,0.70711,0.016474
0.6925,1.2822,2.7307,1.375,0.022684,0.16851,0.27547,0.5,0.04876
0.2735,0.64034,3.9888,0.67276,0.01013,0.50213,0.093926,0.98489,0.0057169
0.29461,0.68931,3.652,0.72528,0.0081802,0.76113,0.026824,1.1402,0.0050745
0.23019,0.77326,7.4894,0.79836,0.0084781,0.39727,0.31611,0.5099,0.0036883
0.24209,0.74281,5.7956,0.76984,0.0058929,0.45075,0.3006,0.92195,0.0049404
0.52549,1.265,3.3728,1.3292,0.0086382,0.52444,0.34229,0.42426,0.024998
0.56964,1.075,2.8259,1.1456,0.010008,0.35309,0.24029,0.63246,0.034836
0.26252,0.77016,5.6878,0.7995,0.011958,0.49068,0.36214,0.94868,0.0063206
0.33271,1.1188,4.502,1.1384,0.0060615,0.38184,0.23004,0.78102,0.0069337
0.34237,1.4418,6.7104,1.4631,0.010887,0.42846,0.31667,0.70711,0.0071931
0.18856,1.182,9.5173,1.1892,0.004965,0.6293,0.29333,0.14142,0.0027243
0.20183,1.1093,10.857,1.1213,0.0069904,0.88159,0.18617,1.0296,0.0030822
0.26968,0.82791,4.7914,0.85471,0.0080366,0.21884,0.28125,0.92195,0.0056069
0.21461,0.63435,4.9398,0.65829,0.0050403,0.41342,0.1276,0.9,0.0041225
0.24064,0.61314,4.0938,0.6442,0.0069185,0.74363,0.086131,0.92195,0.0042024
0.37127,1.0016,3.9232,1.0407,0.0095209,0.96289,0.05851,1.063,0.011142
0.29189,0.69129,3.8901,0.73077,0.0058349,0.39417,0.27283,1.0817,0.0076441
0.22776,0.80024,5.8223,0.81949,0.0069685,0.27346,0.12631,0.98489,0.0037174
0.6008,1.1195,3.1005,1.211,0.018747,0.73436,0.18845,0.67082,0.036548
0.5707,1.1126,3.4441,1.1848,0.013422,0.66868,0.21229,0.72111,0.033515
0.51518,1.0698,4.8104,1.1388,0.015738,0.88446,0.1338,0.92195,0.022953
0.54191,1.0422,3.1957,1.1265,0.01818,0.7702,0.13429,0.92195,0.025112
0.47602,0.97202,3.6056,1.0368,0.018954,0.64483,0.38178,0.44721,0.025751
0.48299,1.0769,3.2126,1.1278,0.011811,0.15539,0.70687,0.72801,0.024581
0.16518,0.83999,7.5735,0.84948,0.0063663,0.37405,0.042403,0.53852,0.0020982
0.15877,0.84083,8.6881,0.85094,0.0054751,0.5419,0.19501,0.5,0.0020509
0.18295,0.89363,6.8493,0.90298,0.0071904,0.36448,0.38082,0.72111,0.0032588
0.17777,0.80231,6.6143,0.81352,0.0057543,0.33125,0.089742,0.76158,0.0025794
0.25968,0.91259,4.6748,0.92806,0.0043446,0.19605,0.42887,0.44721,0.0051393
0.3912,1.1936,7.1319,1.2405,0.0098447,0.81855,0.53482,0.7,0.015668
0.45288,1.0312,4.1692,1.0853,0.0096813,0.73524,0.36777,0.7,0.020292
0.51968,1.5299,4.9742,1.5773,0.0089261,0.30006,0.26969,0.22361,0.023314
0.31554,1.3101,6.4399,1.3292,0.0048919,0.21183,0.52217,0.44721,0.0071957
0.19518,0.84689,6.2895,0.85875,0.0062664,0.39853,0.15803,0.64031,0.0029499
0.27256,0.82299,4.9634,0.85227,0.00733,0.47556,0.34974,1.0817,0.0053807
0.37227,1.3763,4.5208,1.3907,0.0055172,0.79184,0.060699,1.0296,0.013863
0.61206,1.2202,3.2884,1.3007,0.01346,0.27791,0.72277,0.76158,0.035384
0.46094,1.4106,5.5773,1.451,0.009166,0.51611,0.83395,0.80623,0.01927
0.18074,0.87983,8.8077,0.89225,0.0039041,0.41057,0.4094,0.72801,0.0024942
0.15896,0.80299,10.364,0.81509,0.0045618,0.39066,0.079536,0.56569,0.0023179
0.15664,0.7792,11.474,0.79171,0.0042271,0.56033,0.39023,0.5099,0.0020878
0.41151,1.1386,4.4435,1.1753,0.011407,0.14869,0.60905,0.36056,0.016192
0.28162,1.2489,9.0755,1.2703,0.0051029,0.27431,0.56664,0.67082,0.007559
