STD,mean,CoV,average,cwtmean,LOA,skew,ZCR,cwtvar
0.60855,0.90945,1.7931,0.9775,0.015545,0.44851,0.46218,0.78102,0.049691
0.78694,1.0989,1.8306,1.2348,0.010199,0.048429,0.48223,0.83066,0.060882
0.62972,1.1823,2.3196,1.2268,0.025119,0.55444,0.30408,0.5,0.05672
0.81894,1.0193,1.8238,1.1126,0.020246,0.3409,0.53981,0.64031,0.077678
1.0194,1.0323,1.4617,1.199,0.019653,0.57165,0.095785,0.8775,0.12808
0.69249,0.93222,1.772,1.0315,0.017509,0.41664,0.31184,0.3,0.065664
1.1233,0.86732,0.9586,1.0625,0.013257,0.36288,0.57152,0.78102,0.19994
0.8495,1.0874,1.855,1.2071,0.0070204,0.33658,0.24902,0.57446,0.11658
0.78009,0.82129,1.3786,0.92417,0.03378,0.38364,0.54948,0.51962,0.077816
0.79951,0.83183,1.4238,0.9753,0.011084,0.12661,0.45293,0.6,0.076438
0.68444,0.91272,1.8108,1.0191,0.013619,0.33316,0.33222,0.4899,0.055712
0.76095,0.81653,1.4044,0.94155,0.019847,0.24427,0.29598,0.67082,0.068404
1.2045,1.5035,2.9259,1.7559,0.024212,0.183,0.49453,0.42426,0.16375
1.1587,1.0157,1.5477,1.2892,0.029958,0.28853,0.30434,0.67082,0.1006
0.67955,0.70469,1.4921,0.7805,0.016739,0.40351,0.35147,0.57446,0.049739
0.93167,0.99527,1.3013,1.1377,0.027542,0.4332,0.33244,0.8775,0.10652
0.84048,1.2498,2.1224,1.3731,0.0051229,0.40125,0.20396,0.53852,0.083758
0.89418,1.0773,1.6234,1.163,0.037404,0.44058,0.13317,0.75498,0.11048
1.0887,1.1678,1.628,1.3587,0.029523,0.49531,0.20462,0.9434,0.13835
0.69534,1.1113,2.502,1.1821,0.0071375,0.39016,0.19714,0.28284,0.073296
0.91895,1.053,1.6653,1.1937,0.022099,0.3241,0.34204,0.67082,0.10418
0.76335,0.99513,1.6077,1.0929,0.025231,0.44429,0.32453,0.59161,0.049614
0.86432,0.98882,1.3269,1.0844,0.011317,0.5083,0.18261,0.8124,0.071916
0.5853,1.2808,3.1805,1.3559,0.0036018,0.44092,0.36142,0.64031,0.033172
0.37704,1.1331,3.9727,1.154,0.014274,0.37317,0.40377,0.5831,0.010518
0.60399,0.95923,2.3054,1.0209,0.0062819,0.29437,0.44564,0.31623,0.048338
