STD,mean,CoV,average,cwtmean,LOA,skew,ZCR,cwtvar
0.0077402,1.0691,411.12,1.0691,0.00027332,0.37023,0.22139,0,6.00E-06
0.0077517,1.0711,265.39,1.0711,0.00024078,0.25453,0.34486,0,5.78E-06
0.01274,1.0667,184.29,1.0667,0.0003707,0.48761,0.52873,0,1.58E-05
0.0092568,1.0692,228.23,1.0692,0.0002221,0.14892,0.15618,0,7.90E-06
0.0092376,1.0697,190.01,1.0697,0.00031187,0.28785,0.2898,0,8.19E-06
0.010379,1.0692,213.5,1.0693,0.00032578,0.25517,0.21726,0,1.12E-05
0.010137,1.0695,275.05,1.0695,0.00016499,0.32223,0.17905,0,5.26E-06
0.011616,1.0761,174.04,1.0761,0.00014837,0.3779,0.35843,0,1.53E-05
0.011516,1.0748,169.67,1.0748,0.00023093,0.3973,0.18472,0,1.35E-05
0.008579,1.0735,226.91,1.0735,9.24E-05,0.20593,0.25774,0,6.68E-06
0.009951,1.0727,185.22,1.0728,0.00025451,0.45437,0.15985,0,1.17E-05
0.010591,1.0704,165.52,1.0704,0.00031096,0.34393,0.36771,0,1.18E-05
0.0087433,1.0723,369.99,1.0723,8.89E-05,0.15325,0.38301,0,7.88E-06
0.010031,1.0737,210.08,1.0737,0.00024042,0.33387,0.2043,0,8.45E-06
0.0077402,1.0717,250.44,1.0717,0.00011855,0.14903,0.37275,0,6.25E-06
0.010971,1.0723,152.16,1.0724,0.00036331,0.52315,0.32588,0,1.04E-05
0.016913,1.0757,244.66,1.0759,9.47E-05,0.27628,0.16117,0,1.52E-05
0.016728,1.0763,131.84,1.0764,0.00024765,0.34169,0.25691,0,2.70E-05
0.0095592,1.0769,222.44,1.0769,0.00018342,0.32971,0.27855,0,8.77E-06
0.0084958,1.0772,234.04,1.0772,0.00016416,0.39749,0.27651,0,7.75E-06
0.0095219,1.078,221.61,1.078,0.00010022,0.51608,0.2637,0,5.50E-06
0.012052,1.0797,197.12,1.0798,0.00024264,0.40424,0.39368,0,1.25E-05
0.0085271,1.079,379.3,1.0791,0.00010715,0.4499,0.36761,0,7.07E-06
0.0094092,1.0813,185.01,1.0813,0.0002447,0.37228,0.34973,0,8.64E-06
0.011933,1.0792,216.6,1.0793,0.00046754,0.21217,0.37039,0,1.21E-05
0.011761,1.0801,301.99,1.0801,0.00041155,0.50351,0.60991,0,1.12E-05
0.015572,1.0804,170.83,1.0804,0.0004573,0.43347,0.46385,0,2.21E-05
0.014733,1.0825,131.24,1.0825,0.00036556,0.57722,0.20467,0,1.45E-05
0.0099242,1.0796,224.09,1.0796,0.00023612,0.31025,0.22422,0,9.02E-06
0.013293,1.0879,204.65,1.0879,0.0001858,0.43178,0.43565,0,2.08E-05
0.010708,1.0846,150.16,1.0846,0.00029942,0.2602,0.3424,0,1.09E-05
0.011235,1.0815,186.76,1.0815,0.00029963,0.45135,0.42986,0,1.27E-05
0.0091019,1.0789,183.05,1.0789,0.00022856,0.099389,0.24314,0,8.85E-06
0.014508,1.0838,125.83,1.0839,0.00030795,0.36966,0.61801,0,1.96E-05
0.0091603,1.0837,213.48,1.0837,0.00010898,0.19516,0.57486,0,8.12E-06
0.010938,1.0836,322.41,1.0836,0.0003766,0.13,0.42363,0,1.17E-05
0.010207,1.0844,267.72,1.0844,0.00022899,0.41409,0.22658,0,9.17E-06
0.018875,1.0831,117.51,1.0832,0.00043253,0.23082,0.59316,0,4.00E-05
0.0072173,1.0874,260.13,1.0875,9.65E-05,0.291,0.14984,0,5.66E-06
0.0099956,1.088,170.54,1.088,0.00023999,0.44055,0.30429,0,1.03E-05
0.01332,1.092,141.44,1.092,0.00050686,0.31758,0.27073,0,1.76E-05
0.0097068,1.087,307.57,1.087,0.00014533,0.36363,0.36378,0,7.58E-06
0.0080774,1.0846,233.49,1.0846,0.00016397,0.2894,0.1283,0,5.64E-06
0.0097889,1.0859,246.88,1.0859,0.00021281,0.30884,0.1028,0,1.18E-05
0.011227,1.092,170.28,1.092,0.00018912,0.12416,0.66153,0,1.22E-05
0.010971,1.093,255,1.093,0.00034211,0.22911,0.23701,0,1.35E-05
0.0084748,1.0929,339.73,1.0929,0.00024301,0.24236,0.36143,0,6.45E-06
0.010066,1.09,204.74,1.0901,0.00024743,0.26666,0.20192,0,9.73E-06
0.011147,1.0976,245.26,1.0976,6.24E-05,0.28187,0.23063,0,1.29E-05
